prediction,count,subgraph,label
E,1438,Q3950,villa
B,16079,Q107102664,cell line from embryonic stem cells
C,24,Q107102664,cell line from embryonic stem cells
B,864,Q6881511,enterprise
D,13631,Q6881511,enterprise
A,147,Q6881511,enterprise
E,4192,Q6881511,enterprise
C,29261,Q6881511,enterprise
E,4662,Q11446,ship
B,15,Q11446,ship
D,61467,Q11446,ship
C,12020,Q11446,ship
D,5,Q6453643,decree law
C,12386,Q6453643,decree law
C,7,Q56731284,Act of the Parliament of Australia
D,521,Q56731284,Act of the Parliament of Australia
E,1,Q56731284,Act of the Parliament of Australia
C,388,Q40231,election
E,8230,Q40231,election
D,9541,Q40231,election
D,6146,Q8436,family
C,1880,Q8436,family
E,3449,Q8436,family
B,4,Q8436,family
A,1,Q8436,family
A,29,Q7187,gene
B,184886,Q7187,gene
D,203880,Q7187,gene
E,1247,Q7187,gene
C,315693,Q7187,gene
D,35506,Q215380,musical group
C,39062,Q215380,musical group
A,97,Q215380,musical group
E,5997,Q215380,musical group
B,1823,Q215380,musical group
E,156,Q2151232,townland
C,222,Q2151232,townland
D,60391,Q2151232,townland
E,1,Q1134686,frazione
C,17750,Q1134686,frazione
A,11,Q1134686,frazione
B,135,Q1134686,frazione
D,1073,Q1134686,frazione
B,15,Q13406463,Wikimedia list article
D,217874,Q13406463,Wikimedia list article
E,92132,Q13406463,Wikimedia list article
A,1,Q13406463,Wikimedia list article
C,25688,Q13406463,Wikimedia list article
A,53,Q1248784,airport
E,75,Q1248784,airport
C,17406,Q1248784,airport
B,2314,Q1248784,airport
D,4554,Q1248784,airport
B,231,Q1266946,thesis
D,852,Q1266946,thesis
E,1516,Q1266946,thesis
C,43,Q1266946,thesis
E,34368,Q7725634,literary work
D,116994,Q7725634,literary work
B,375,Q7725634,literary work
C,30538,Q7725634,literary work
A,111,Q7725634,literary work
D,23561,Q9826,high school
B,11,Q9826,high school
C,6115,Q9826,high school
E,946,Q9826,high school
E,3510,Q39594,bay
B,75,Q39594,bay
D,25875,Q39594,bay
A,2,Q39594,bay
C,2738,Q39594,bay
C,902,Q187971,wadi
E,19735,Q187971,wadi
D,6904,Q187971,wadi
B,5,Q187971,wadi
C,392,Q5783996,cottage
E,18,Q5783996,cottage
B,2,Q5783996,cottage
D,37176,Q5783996,cottage
C,10217,Q11060274,print
D,120936,Q11060274,print
B,61,Q11060274,print
E,1139,Q11060274,print
D,15795,Q46831,mountain range
C,5487,Q46831,mountain range
E,860,Q46831,mountain range
A,4,Q46831,mountain range
B,123,Q46831,mountain range
B,50,Q1115575,civil parish
A,10,Q1115575,civil parish
C,10068,Q1115575,civil parish
D,2029,Q1115575,civil parish
A,1,Q18663566,dissolved municipality of Japan
D,4205,Q18663566,dissolved municipality of Japan
C,11002,Q18663566,dissolved municipality of Japan
B,12,Q18663566,dissolved municipality of Japan
E,18,Q18663566,dissolved municipality of Japan
C,5354,Q571,book
B,15,Q571,book
D,18412,Q571,book
A,3,Q571,book
E,2813,Q571,book
D,204317,Q4022,river
C,142400,Q4022,river
E,13005,Q4022,river
A,24,Q4022,river
B,2221,Q4022,river
E,3459,Q839954,archaeological site
A,32,Q839954,archaeological site
C,12750,Q839954,archaeological site
B,543,Q839954,archaeological site
D,34607,Q839954,archaeological site
E,1,Q51591359,voting result
D,10507,Q51591359,voting result
C,2,Q51591359,voting result
D,227702,Q79007,street
E,5315,Q79007,street
C,353927,Q79007,street
A,1,Q79007,street
B,69,Q79007,street
C,272,Q985488,residential community of the People's Republic of China
D,2493,Q985488,residential community of the People's Republic of China
E,826,Q985488,residential community of the People's Republic of China
B,129906,Q21014462,cell line
D,1,Q21014462,cell line
C,1041,Q21014462,cell line
D,564,Q773668,open-access journal
E,6,Q773668,open-access journal
C,10770,Q773668,open-access journal
B,749,Q773668,open-access journal
B,1212,Q253019,Ortsteil
E,148,Q253019,Ortsteil
C,35404,Q253019,Ortsteil
D,4020,Q253019,Ortsteil
E,15244,Q101352,family name
B,2157,Q101352,family name
C,402507,Q101352,family name
A,2,Q101352,family name
D,34751,Q101352,family name
E,36741,Q3331189,"version, edition, or translation"
B,43,Q3331189,"version, edition, or translation"
D,74328,Q3331189,"version, edition, or translation"
A,4,Q3331189,"version, edition, or translation"
C,43689,Q3331189,"version, edition, or translation"
E,2203,Q191067,article
D,31608,Q191067,article
C,23639,Q191067,article
B,8,Q191067,article
E,25,Q1529096,village in Turkey
D,1553,Q1529096,village in Turkey
B,1,Q1529096,village in Turkey
C,17313,Q1529096,village in Turkey
D,6386,Q891723,public company
E,1121,Q891723,public company
A,194,Q891723,public company
B,739,Q891723,public company
C,3937,Q891723,public company
D,3466,Q55659167,natural watercourse
B,22,Q55659167,natural watercourse
C,17298,Q55659167,natural watercourse
E,363,Q55659167,natural watercourse
C,14789,Q125191,photograph
E,821,Q125191,photograph
D,41661,Q125191,photograph
B,2084,Q125191,photograph
E,19878,Q8054,protein
C,486888,Q8054,protein
A,7,Q8054,protein
B,595,Q8054,protein
D,302601,Q8054,protein
B,758,Q23413,castle
E,1849,Q23413,castle
A,6,Q23413,castle
C,8481,Q23413,castle
D,9778,Q23413,castle
C,11049,Q2467461,academic department
D,4599,Q2467461,academic department
B,1,Q2467461,academic department
E,32,Q2467461,academic department
A,1,Q2467461,academic department
B,7,Q55850593,music track with vocals
D,9247,Q55850593,music track with vocals
C,2202,Q55850593,music track with vocals
C,32909,Q34442,road
E,3387,Q34442,road
D,26488,Q34442,road
B,15,Q34442,road
B,1505,Q4830453,business
D,97428,Q4830453,business
A,222,Q4830453,business
E,34299,Q4830453,business
C,53553,Q4830453,business
C,368,Q898273,protein domain
E,996,Q898273,protein domain
D,10341,Q898273,protein domain
B,2,Q898273,protein domain
E,3178,Q5398426,television series
B,4237,Q5398426,television series
C,28904,Q5398426,television series
A,271,Q5398426,television series
D,22581,Q5398426,television series
A,26,Q15632617,fictional human
B,189,Q15632617,fictional human
E,1282,Q15632617,fictional human
D,17082,Q15632617,fictional human
C,9406,Q15632617,fictional human
A,31,Q33506,museum
D,26710,Q33506,museum
E,938,Q33506,museum
B,1184,Q33506,museum
C,12439,Q33506,museum
C,4,Q10429085,report
D,10345,Q10429085,report
D,61142,Q96739634,individual motion
C,18,Q96739634,individual motion
C,8775,Q61089180,part of municipality in the Czech Republic
B,31,Q61089180,part of municipality in the Czech Republic
D,2669,Q61089180,part of municipality in the Czech Republic
D,24250,Q3257686,locality
C,12198,Q3257686,locality
B,414,Q3257686,locality
E,2508,Q3257686,locality
A,6,Q3257686,locality
C,2437,Q131681,reservoir
E,2746,Q131681,reservoir
D,6953,Q131681,reservoir
A,1,Q131681,reservoir
B,72,Q131681,reservoir
C,129615,Q29654788,Unicode character
B,25,Q29654788,Unicode character
D,21520,Q29654788,Unicode character
E,1,Q29654788,Unicode character
D,302327,Q486972,human settlement
C,188177,Q486972,human settlement
B,2909,Q486972,human settlement
A,121,Q486972,human settlement
E,55697,Q486972,human settlement
E,10545,Q93184,drawing
D,68243,Q93184,drawing
C,12390,Q93184,drawing
B,41,Q93184,drawing
C,2,Q67015940,Government Boys' Primary School
E,64,Q67015940,Government Boys' Primary School
D,6,Q67015940,Government Boys' Primary School
D,27618,Q22698,park
C,3717,Q22698,park
B,74,Q22698,park
E,1984,Q22698,park
D,19928,Q838948,work of art
C,3375,Q838948,work of art
E,179,Q838948,work of art
B,16,Q838948,work of art
A,6,Q2668072,collection
E,103,Q2668072,collection
B,54,Q2668072,collection
C,282,Q2668072,collection
D,433904,Q2668072,collection
E,6414,Q134556,single
B,406,Q134556,single
A,2,Q134556,single
D,18857,Q134556,single
C,66962,Q134556,single
B,147,Q2514025,posyolok
D,9855,Q2514025,posyolok
C,5237,Q2514025,posyolok
E,824,Q2514025,posyolok
C,4057,Q207326,summit
B,5,Q207326,summit
E,8109,Q207326,summit
D,5040,Q207326,summit
A,1,Q207326,summit
C,95,Q16466010,association football match
D,439,Q16466010,association football match
E,95,Q16466010,association football match
E,4946,Q46190676,tennis event
D,16639,Q46190676,tennis event
C,4246,Q46190676,tennis event
C,746,Q4504495,award ceremony
B,4,Q4504495,award ceremony
E,3878,Q4504495,award ceremony
D,7951,Q4504495,award ceremony
C,737,Q358,heritage site
A,2,Q358,heritage site
D,11970,Q358,heritage site
E,380,Q358,heritage site
B,31,Q358,heritage site
A,1525,Q11173,chemical compound
E,2263,Q11173,chemical compound
D,1218961,Q11173,chemical compound
C,11804,Q11173,chemical compound
B,9632,Q11173,chemical compound
E,1220,Q17018380,bight
C,872,Q17018380,bight
D,13299,Q17018380,bight
B,4,Q17018380,bight
D,88844,Q56436498,village in India
C,56210,Q56436498,village in India
E,668,Q56436498,village in India
B,54,Q56436498,village in India
B,86,Q18127,record label
D,5133,Q18127,record label
C,3334,Q18127,record label
A,8,Q18127,record label
E,1644,Q18127,record label
E,1,Q49008,prime number
C,1262,Q49008,prime number
D,126247,Q49008,prime number
B,1,Q49008,prime number
A,4,Q49008,prime number
C,7285,Q7075,library
A,6,Q7075,library
B,221,Q7075,library
D,15126,Q7075,library
E,554,Q7075,library
D,42508,Q55488,railway station
E,919,Q55488,railway station
B,1099,Q55488,railway station
A,4,Q55488,railway station
C,56101,Q55488,railway station
B,922,Q2225692,fourth-level administrative division in Indonesia
C,77091,Q2225692,fourth-level administrative division in Indonesia
E,114,Q2225692,fourth-level administrative division in Indonesia
D,4784,Q2225692,fourth-level administrative division in Indonesia
E,1835,Q1516079,cultural heritage ensemble
C,4676,Q1516079,cultural heritage ensemble
B,9,Q1516079,cultural heritage ensemble
D,30965,Q1516079,cultural heritage ensemble
B,5,Q124714,spring
E,1511,Q124714,spring
D,41383,Q124714,spring
C,5842,Q124714,spring
E,15394,Q41176,building
D,197815,Q41176,building
C,66708,Q41176,building
B,320,Q41176,building
A,3,Q41176,building
C,8694,Q3464665,television series season
B,60,Q3464665,television series season
D,9807,Q3464665,television series season
E,502,Q3464665,television series season
C,13,Q19855165,rural school
D,549,Q19855165,rural school
E,67463,Q19855165,rural school
A,5,Q1497375,architectural ensemble
C,1961,Q1497375,architectural ensemble
D,3739,Q1497375,architectural ensemble
E,901,Q1497375,architectural ensemble
B,158,Q1497375,architectural ensemble
E,5916,Q55659107,intermittent natural watercourse
D,10104,Q55659107,intermittent natural watercourse
C,366,Q55659107,intermittent natural watercourse
B,202,Q2085381,publisher
D,6869,Q2085381,publisher
E,1306,Q2085381,publisher
A,20,Q2085381,publisher
C,5231,Q2085381,publisher
E,1631,Q24862,short film
C,17984,Q24862,short film
B,237,Q24862,short film
D,9911,Q24862,short film
A,1,Q24862,short film
D,3690,Q3231690,automobile model
E,951,Q3231690,automobile model
B,81,Q3231690,automobile model
C,5763,Q3231690,automobile model
E,626990,Q5,human
B,693124,Q5,human
C,3572265,Q5,human
D,4247974,Q5,human
A,25967,Q5,human
C,5417,Q210272,cultural heritage
A,2,Q210272,cultural heritage
D,7947,Q210272,cultural heritage
E,5102,Q210272,cultural heritage
B,116,Q210272,cultural heritage
C,1414,Q65954115,State Bank of India branch
E,3081,Q65954115,State Bank of India branch
D,17969,Q65954115,State Bank of India branch
E,15826,Q13433827,encyclopedia article
C,46945,Q13433827,encyclopedia article
B,16,Q13433827,encyclopedia article
D,377650,Q13433827,encyclopedia article
C,1907,Q16510064,sporting event
E,6084,Q16510064,sporting event
D,19861,Q16510064,sporting event
E,878,Q67035425,ASTM standard
D,16418,Q67035425,ASTM standard
B,65,Q1081138,historic site
C,3206,Q1081138,historic site
D,2754,Q1081138,historic site
E,2550,Q1081138,historic site
E,2225,Q473972,protected area
C,74144,Q473972,protected area
A,3,Q473972,protected area
B,2207,Q473972,protected area
D,4866,Q473972,protected area
E,329,Q220659,archaeological artifact
D,17841,Q220659,archaeological artifact
A,2,Q220659,archaeological artifact
B,6,Q220659,archaeological artifact
C,1816,Q220659,archaeological artifact
D,2881,Q740445,ridge
B,7,Q740445,ridge
E,9188,Q740445,ridge
C,538,Q740445,ridge
B,5805,Q482994,album
C,187245,Q482994,album
D,67287,Q482994,album
E,9828,Q482994,album
A,32,Q482994,album
E,361,Q5633421,scientific journal
C,38821,Q5633421,scientific journal
D,53026,Q5633421,scientific journal
B,4712,Q5633421,scientific journal
A,5,Q5633421,scientific journal
E,5528,Q15647814,Wikimedia administration category
C,699,Q15647814,Wikimedia administration category
D,5771,Q15647814,Wikimedia administration category
C,83,Q427087,non-coding RNA
E,49,Q427087,non-coding RNA
D,35370,Q427087,non-coding RNA
B,41782,Q427087,non-coding RNA
D,96616,Q532,village
B,3978,Q532,village
A,13,Q532,village
E,14200,Q532,village
C,147322,Q532,village
E,3004,Q105543609,musical work/composition
A,9,Q105543609,musical work/composition
D,47464,Q105543609,musical work/composition
B,1317,Q105543609,musical work/composition
C,43840,Q105543609,musical work/composition
D,14280,Q106474968,ethnic group by settlement in Macedonia
E,1070194,Q4167410,Wikimedia disambiguation page
B,281,Q4167410,Wikimedia disambiguation page
D,120132,Q4167410,Wikimedia disambiguation page
C,187687,Q4167410,Wikimedia disambiguation page
D,8797,Q40080,beach
E,4763,Q40080,beach
C,1677,Q40080,beach
B,103,Q40080,beach
B,42,Q3947,house
C,24350,Q3947,house
D,162786,Q3947,house
E,14221,Q3947,house
C,5682,Q728937,railway line
D,8123,Q728937,railway line
E,387,Q728937,railway line
B,27,Q728937,railway line
A,1,Q728937,railway line
D,9085,Q46135307,nation at sport competition
C,269,Q46135307,nation at sport competition
E,2399,Q46135307,nation at sport competition
E,16,Q155076,juridical person
A,1,Q155076,juridical person
C,27,Q155076,juridical person
D,23461,Q155076,juridical person
B,1,Q155076,juridical person
D,21659,Q26895936,American football team season
E,896,Q26895936,American football team season
C,32,Q26895936,American football team season
D,5386,Q4414033,rural council of Ukraine
C,4482,Q4414033,rural council of Ukraine
E,225,Q4414033,rural council of Ukraine
B,2,Q5707594,news article
E,532,Q5707594,news article
C,128,Q5707594,news article
D,5960,Q5707594,news article
E,50450,Q17633526,Wikinews article
B,3,Q17633526,Wikinews article
C,4482,Q17633526,Wikinews article
D,232001,Q17633526,Wikinews article
B,24,Q4421,forest
D,11254,Q4421,forest
C,1709,Q4421,forest
E,8648,Q4421,forest
A,2,Q4421,forest
C,83,Q1539532,sports season of a sports club
D,16291,Q1539532,sports season of a sports club
E,2434,Q1539532,sports season of a sports club
D,90,Q50386450,operatic character
C,1115,Q50386450,operatic character
B,266,Q44613,monastery
C,3740,Q44613,monastery
E,2117,Q44613,monastery
D,6987,Q44613,monastery
A,2,Q44613,monastery
B,452,Q62447,aerodrome
C,9428,Q62447,aerodrome
A,1,Q62447,aerodrome
D,6318,Q62447,aerodrome
E,2142,Q62447,aerodrome
A,3,Q16917,hospital
B,991,Q16917,hospital
D,19529,Q16917,hospital
C,6404,Q16917,hospital
E,759,Q16917,hospital
A,10,Q21199,natural number
B,5,Q21199,natural number
D,215,Q21199,natural number
C,10156,Q21199,natural number
E,1,Q21199,natural number
A,3,Q28564,public library
E,139,Q28564,public library
D,28601,Q28564,public library
B,156,Q28564,public library
C,6586,Q28564,public library
B,127,Q355304,watercourse
D,87366,Q355304,watercourse
E,530,Q355304,watercourse
C,77660,Q355304,watercourse
E,8071,Q3305213,painting
D,396399,Q3305213,painting
C,127481,Q3305213,painting
A,34,Q3305213,painting
B,9618,Q3305213,painting
A,3,Q39614,cemetery
E,3620,Q39614,cemetery
C,10220,Q39614,cemetery
D,68579,Q39614,cemetery
B,103,Q39614,cemetery
B,4,Q820655,legislation
E,665,Q820655,legislation
D,10785,Q820655,legislation
C,15561,Q820655,legislation
D,4831,Q19692072,United States Supreme Court decision
C,502,Q19692072,United States Supreme Court decision
E,67,Q19692072,United States Supreme Court decision
C,421,Q842402,Hindu temple
B,6,Q842402,Hindu temple
E,49,Q842402,Hindu temple
D,14441,Q842402,Hindu temple
A,1,Q842402,Hindu temple
E,9160,Q735428,town in China
D,7689,Q735428,town in China
C,3363,Q735428,town in China
B,1,Q735428,town in China
E,45,Q928830,metro station
A,5,Q928830,metro station
C,10756,Q928830,metro station
B,626,Q928830,metro station
D,3644,Q928830,metro station
C,767,Q294414,public office
A,1,Q294414,public office
E,947,Q294414,public office
D,11797,Q294414,public office
B,13,Q294414,public office
E,409,Q12323,dam
C,6724,Q12323,dam
D,42252,Q12323,dam
B,60,Q12323,dam
A,12,Q16560,palace
B,287,Q16560,palace
D,4867,Q16560,palace
C,3129,Q16560,palace
E,3557,Q16560,palace
D,7754,Q820477,mine
B,9,Q820477,mine
C,1433,Q820477,mine
E,278,Q820477,mine
E,107,Q1348305,erratum
B,1355,Q1348305,erratum
C,54560,Q1348305,erratum
D,22899,Q1348305,erratum
B,349153,Q16521,taxon
D,570503,Q16521,taxon
C,2407628,Q16521,taxon
E,4432,Q16521,taxon
A,6461,Q16521,taxon
E,405,Q21191270,television series episode
C,23623,Q21191270,television series episode
B,1053,Q21191270,television series episode
D,40424,Q21191270,television series episode
D,6525,Q21198342,manga series
C,2306,Q21198342,manga series
E,4421,Q21198342,manga series
B,118,Q21198342,manga series
A,6,Q21198342,manga series
C,1124,Q783794,company
E,3326,Q783794,company
B,51,Q783794,company
D,6642,Q783794,company
A,7,Q783794,company
D,24516,Q9842,primary school
C,42625,Q9842,primary school
E,64247,Q9842,primary school
B,2,Q9842,primary school
A,1,Q9842,primary school
E,2350,Q108325,chapel
B,69,Q108325,chapel
A,1,Q108325,chapel
D,33286,Q108325,chapel
C,19992,Q108325,chapel
D,1688,Q1302249,cross-reference
C,14709,Q1302249,cross-reference
E,72,Q1302249,cross-reference
C,10585,Q811979,architectural structure
E,3645,Q811979,architectural structure
A,2,Q811979,architectural structure
B,108,Q811979,architectural structure
D,94255,Q811979,architectural structure
C,8493,Q10870555,report
E,339,Q10870555,report
D,11585,Q10870555,report
B,5,Q10870555,report
E,1,Q1260524,time of the day
D,87869,Q1260524,time of the day
C,12,Q1260524,time of the day
D,10820,Q11032,newspaper
